table,domain,index,columns,kind,size_bytes,scans,flags
aumrti_admins,Identity,aumrti_admins_auth_user_id_key,auth_user_id,UNIQUE,16384,0,"DUPLICATE column set: aumrti_admins_auth_user_id_key, idx_aumrti_admins_auth_user_id"
aumrti_admins,Identity,aumrti_admins_pkey,id,PK,16384,7,none
aumrti_admins,Identity,idx_aumrti_admins_auth_user_id,auth_user_id,INDEX,16384,1457860,"DUPLICATE column set: aumrti_admins_auth_user_id_key, idx_aumrti_admins_auth_user_id"
auto_posting_rules,Other,auto_posting_rules_hospital_trigger_unique,hospital_id trigger_event,UNIQUE,40960,957,none
auto_posting_rules,Other,auto_posting_rules_pkey,id,PK,16384,0,none
ayush_drug_master,Other,ayush_drug_master_pkey,id,PK,16384,0,none
ayush_drug_master,Other,idx_ayush_drug_hospital,hospital_id,INDEX,16384,131,none
ayush_drug_master,Other,idx_ayush_drug_system,system,INDEX,16384,0,ZERO scans since stats reset
ayush_encounters,Other,ayush_encounters_pkey,id,PK,8192,0,none
ayush_encounters,Other,idx_ayush_enc_hospital,hospital_id,INDEX,8192,107,none
ayush_encounters,Other,idx_ayush_enc_patient,patient_id,INDEX,8192,67,none
ayush_encounters,Other,idx_ayush_enc_system,system,INDEX,8192,0,ZERO scans since stats reset
bank_accounts,Other,bank_accounts_pkey,id,PK,8192,0,none
bank_transactions,Other,bank_transactions_pkey,id,PK,8192,0,none
bed_demand_forecasts,IPD,bed_demand_forecasts_pkey,id,PK,8192,0,none
bed_demand_forecasts,IPD,idx_bed_demand_forecasts_hospital,hospital_id forecast_date,INDEX,8192,0,"ZERO scans since stats reset; DUPLICATE column set: idx_bed_demand_hospital_date, idx_bed_demand_forecasts_hospital"
bed_demand_forecasts,IPD,idx_bed_demand_forecasts_uniq,hospital_id ward_id forecast_date,UNIQUE,8192,0,none
bed_demand_forecasts,IPD,idx_bed_demand_hospital_date,hospital_id forecast_date,INDEX,8192,109,"DUPLICATE column set: idx_bed_demand_hospital_date, idx_bed_demand_forecasts_hospital"
bed_reservations,IPD,bed_reservations_bed_active_idx,bed_id,INDEX,8192,0,ZERO scans since stats reset
bed_reservations,IPD,bed_reservations_hospital_date_idx,hospital_id planned_admission_date,INDEX,8192,123,none
bed_reservations,IPD,bed_reservations_pkey,id,PK,8192,0,none
beds,IPD,beds_pkey,id,PK,16384,614,none
beds,IPD,idx_beds_hospital_status,hospital_id status,INDEX,16384,5293,none
beds,IPD,idx_beds_ward_status,ward_id status,INDEX,16384,20,none
bill_amendments,Billing,bill_amendments_bill_idx,bill_id,INDEX,8192,712,none
bill_amendments,Billing,bill_amendments_changed_idx,changed_at,INDEX,8192,0,ZERO scans since stats reset
bill_amendments,Billing,bill_amendments_hospital_idx,hospital_id,INDEX,8192,101,none
bill_amendments,Billing,bill_amendments_pkey,id,PK,8192,0,none
bill_discount_approvals,Billing,bill_discount_approvals_pkey,id,PK,16384,0,none
bill_discount_approvals,Billing,idx_bill_discount_approvals_bill,bill_id,INDEX,16384,1626,none
bill_discount_approvals,Billing,idx_bill_discount_approvals_hospital,hospital_id,INDEX,16384,115,none
bill_discount_approvals,Billing,idx_bill_discount_approvals_status,status,INDEX,16384,340,none
bill_line_items,Billing,bill_line_items_pkey,id,PK,32768,25,none
bill_line_items,Billing,idx_bill_line_items_bill,bill_id,INDEX,16384,2274,none
bill_line_items,Billing,idx_bill_line_items_dedupe,bill_id source_dedupe_key,INDEX,57344,0,ZERO scans since stats reset
bill_line_items,Billing,idx_bill_line_items_type,hospital_id item_type,INDEX,16384,191,none
bill_line_items,Billing,idx_bli_dedupe_lookup,hospital_id source_dedupe_key,INDEX,49152,50,none
bill_line_items,Billing,idx_bli_payment_status,payment_status hospital_id,INDEX,16384,2,none
bill_payments,Billing,bill_payments_pkey,id,PK,16384,728,none
bill_payments,Billing,idx_bill_payments_bill,bill_id payment_date,INDEX,16384,1639,none
bill_payments,Billing,idx_bill_payments_hospital_date,hospital_id payment_date,INDEX,16384,138,none
bill_sequences,Billing,bill_sequences_pkey,hospital_id prefix,PK,16384,825,none
bills,Billing,bills_hospital_bill_number_key,hospital_id bill_number,UNIQUE,40960,0,"DUPLICATE column set: bills_hospital_bill_number_key, idx_bills_hospital_number"
bills,Billing,bills_pkey,id,PK,16384,16241,none
bills,Billing,idx_bills_analytics,hospital_id bill_date bill_type payment_status total_amount paid_amount,INDEX,32768,2801,none
bills,Billing,idx_bills_ed_visit_id,ed_visit_id,INDEX,16384,3,none
bills,Billing,idx_bills_hospital_date,hospital_id bill_date,INDEX,16384,73,none
bills,Billing,idx_bills_hospital_number,hospital_id bill_number,INDEX,32768,2253,"DUPLICATE column set: bills_hospital_bill_number_key, idx_bills_hospital_number"
bills,Billing,idx_bills_patient_status,patient_id payment_status,INDEX,16384,4876,none
bills,Billing,idx_bills_status_date,hospital_id payment_status bill_date,INDEX,16384,531,none
bills,Billing,idx_bills_unposted,hospital_id posted_to_journal bill_status,INDEX,16384,0,ZERO scans since stats reset
blood_antibody_screening,Blood Bank,blood_antibody_screening_pkey,id,PK,8192,0,none
blood_issues,Blood Bank,blood_issues_pkey,id,PK,8192,0,none
blood_requests,Blood Bank,blood_requests_pkey,id,PK,8192,0,none
